#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=crf mbtree=1 crf=35.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:41.03 aq:18.58 tex:6854 mv:2748 misc:5814 imb:3600 pmb:0 smb:0 d:- ref:;
in:2 out:1 type:P dur:2 cpbdur:2 q:41.03 aq:21.94 tex:126 mv:230 misc:356 imb:2 pmb:26 smb:3572 d:- ref:0 ;
in:1 out:2 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:t ref:0 ;
in:4 out:3 type:P dur:2 cpbdur:2 q:41.03 aq:26.84 tex:256 mv:288 misc:384 imb:2 pmb:34 smb:3564 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:0 mv:11 misc:237 imb:0 pmb:1 smb:3599 d:t ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:41.03 aq:24.02 tex:145 mv:305 misc:342 imb:12 pmb:21 smb:3567 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:41.03 aq:25.00 tex:4 mv:52 misc:288 imb:1 pmb:9 smb:3590 d:t ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:8 mv:76 misc:268 imb:0 pmb:10 smb:3590 d:t ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:5 mv:180 misc:319 imb:0 pmb:27 smb:3573 d:- ref:0 ;
in:14 out:9 type:P dur:2 cpbdur:2 q:41.03 aq:21.99 tex:543 mv:369 misc:368 imb:14 pmb:28 smb:3558 d:- ref:0 ;
in:11 out:10 type:B dur:2 cpbdur:2 q:41.03 aq:22.19 tex:17 mv:57 misc:310 imb:1 pmb:13 smb:3586 d:t ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:4 mv:88 misc:276 imb:0 pmb:11 smb:3589 d:t ref:0 ;
in:10 out:12 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:6 mv:35 misc:271 imb:0 pmb:11 smb:3589 d:t ref:0 ;
in:12 out:13 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:13 mv:173 misc:318 imb:0 pmb:28 smb:3572 d:- ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:8 mv:170 misc:318 imb:0 pmb:28 smb:3572 d:- ref:0 ;
in:20 out:15 type:P dur:2 cpbdur:2 q:41.03 aq:22.85 tex:194 mv:323 misc:347 imb:13 pmb:22 smb:3565 d:- ref:0 ;
in:17 out:16 type:B dur:2 cpbdur:2 q:41.03 aq:24.00 tex:4 mv:86 misc:302 imb:0 pmb:13 smb:3587 d:t ref:0 ;
in:15 out:17 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:3 mv:106 misc:283 imb:0 pmb:11 smb:3589 d:t ref:0 ;
in:16 out:18 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:5 mv:91 misc:280 imb:0 pmb:11 smb:3589 d:t ref:0 ;
in:18 out:19 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:4 mv:183 misc:309 imb:0 pmb:28 smb:3572 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:9 mv:211 misc:300 imb:0 pmb:27 smb:3573 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:41.03 aq:16.48 tex:49 mv:245 misc:338 imb:9 pmb:21 smb:3570 d:t ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:41.03 aq:25.00 tex:4 mv:18 misc:274 imb:0 pmb:7 smb:3593 d:t ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:5 mv:32 misc:259 imb:0 pmb:7 smb:3593 d:t ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:13 mv:173 misc:294 imb:0 pmb:23 smb:3577 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:41.03 aq:25.87 tex:216 mv:278 misc:354 imb:9 pmb:21 smb:3570 d:t ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:41.03 aq:25.00 tex:6 mv:68 misc:286 imb:1 pmb:6 smb:3593 d:t ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:1 mv:58 misc:261 imb:0 pmb:6 smb:3594 d:t ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:41.03 aq:26.00 tex:9 mv:202 misc:333 imb:0 pmb:31 smb:3569 d:- ref:0 ;
